,comments,sentiment,tokens
16618,아 아런 닝맨 멤버들은 대체 어떤 싸움을 해오신 겁니까,0,"['아', '아런', '닝맨', '멤버', '들', '은', '대체', '어떤', '싸움', '을', '해오신', '겁', '니까']"
16619,올해부터 쭉 정주행하는데 항상 재밌고 케미도 짱이고 감동적이고 제가 유일하게 티비보는 채널이라 너무 기 뻐요 재미없다는 말 하차 등 나뿐 말 다 무시하고 런닝맨 오래오래 해줘요 내일도 본 방사수 할 거에요,0,"['올해', '부터', '쭉', '정', '주행', '하는데', '항상', '재밌고', '케미', '도', '짱', '이고', '감동', '적', '이고', '제', '가', '유일하게', '티비', '보는', '채널', '이라', '너무', '기', '뻐', '요', '재미없다는', '말', '하차', '등', '나', '뿐', '말', '다', '무시', '하고', '런닝맨', '오래오래', '해줘요', '내일', '도', '본', '방사', '수', '할', '거', '에요']"
16620,무식한 쉐끼들,1,"['무식한', '쉐끼들']"
16621,쟤는 ㅈㄴ 쳐 맞아 야 됨 애새끼가 커서 어떤 짓을 하려고 벌써부터 지 애미 차 뺐어 타냐,1,"['쟤', '는', 'ㅈㄴ', '쳐', '맞아', '야', '됨', '애', '새끼', '가', '커서', '어떤', '짓', '을', '하려고', '벌써', '부터', '지', '애', '미', '차', '뺐어', '타냐']"
16622,괜히 봤어 암 걸리네,1,"['괜히', '봤어', '암', '걸리네']"
16623,헐 선생님 산발도 넘멋 있으셔서 스타일링 후인 줄 알았어요 머리가 선생님 빨받는데요,0,"['헐', '선생님', '산발', '도', '넘', '멋', '있으셔서', '스타', '일링', '후', '인', '줄', '알았어요', '머리', '가', '선생님', '빨', '받는데요']"
16624,진짜 너무 좋아요 일 주어터,0,"['진짜', '너무', '좋아요', '일', '주어', '터']"
16625,저거 먹어봐 ㅂㅅ아 ㅋㅋ 참 ㅆㅂ 사람을 개 ㅈ같이 만든 다ㅂㅅ들,1,"['저', '거', '먹어', '봐', 'ㅂㅅ', '아', 'ㅋㅋ', '참', 'ㅆㅂ', '사람', '을', '개', 'ㅈ', '같이', '만든', '다', 'ㅂㅅ', '들']"
16626,나 광주 사는 데 내 친구 저기 지나가다 죽을 뻔 했음,0,"['나', '광주', '사는', '데', '내', '친구', '저기', '지나가다', '죽', '을', '뻔', '했음']"
16627,나이가 아니라 나잇살만 처 먹었구나,1,"['나이', '가', '아니라', '나잇', '살', '만', '처', '먹었구나']"
16628,나래이션 ㅋㅋㅋㅋ 마지막에,0,"['나래', '이', '션', 'ㅋㅋㅋㅋ', '마지막', '에']"
16629,자궁 및 질 출혈은 뭐 성기에다가 주먹이라도 집어넣었냐 ㅋㅋㅋㅋ 멍도 그렇고 진짜 쳐맞은 사람 멍이 아니네ㅋㅋ,1,"['자궁', '및', '질', '출혈', '은', '뭐', '성기', '에다가', '주먹', '이라도', '집어넣었냐', 'ㅋㅋㅋㅋ', '멍', '도', '그렇고', '진짜', '쳐', '맞은', '사람', '멍', '이', '아니네', 'ㅋㅋ']"
16630,야구 우승,0,"['야구', '우승']"
16631,난 이게 제일 웃 김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 10번 봄 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,"['난', '이', '게', '제일', '웃', '김', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '10', '번', '봄', 'ㅋㅋㅋㅋㅋㅋㅋㅋ']"
16632,시부레 성악설 아 맞는 듯,0,"['시', '부레', '성악설', '아', '맞는', '듯']"
16633,머리 자르니까 엄청 깔끔해졌어요 더 날씬해 보이고 준 유아인 됨 ㅋㅋㅋ,0,"['머리', '자르니까', '엄청', '깔끔해졌어요', '더', '날씬해', '보이', '고', '준', '유아인', '됨', 'ㅋㅋㅋ']"
16634,매일 봐도 그댄 예뻐요 좋아요,0,"['매일', '봐도', '그', '댄', '예뻐요', '좋아요']"
16635,쓰레기 걸래들 다끼리끼리 만난 다ㅋ,1,"['쓰레기', '걸', '래', '들', '다', '끼리끼리', '만난', '다', 'ㅋ']"
16636,밥 풀 소 울 채널 동영상 응큼해 보였는데 방송은 화끈햇다,1,"['밥', '풀', '소', '울', '채널', '동영상', '응', '큼해', '보였는데', '방송', '은', '화끈', '햇', '다']"
16637,의 올바른 사용법,0,"['의', '올바른', '사', '용법']"
16638,서예지랑 김정현은 쓰레기지,1,"['서예지', '랑', '김정현', '은', '쓰레기', '지']"
16639,하쒸 너무 이 뻐 진짜,0,"['하쒸', '너무', '이', '뻐', '진짜']"
16640,모야 왜 케 재밌어,0,"['모야', '왜', '케', '재밌어']"
16641,이름부터 병태여 변태쉑,1,"['이름', '부터', '병태', '여', '변태', '쉑']"
16642,제 밀당에 당하셨네요 후 후,0,"['제', '밀당', '에', '당하셨네요', '후', '후']"
16643,중앙선 침범한 적반하장 아줌마 덤프랑 사고나 뒤졌으면,1,"['중앙', '선', '침범', '한', '적반하장', '아줌마', '덤', '프랑', '사고', '나', '뒤졌으면']"
16644,귀차니즘 아니 빚 갚아서 맘 편해졌다는 거지,0,"['귀차니즘', '아니', '빚', '갚아서', '맘', '편해졌다는', '거지']"
16645,아짜증난다 거짓말 코스프레 짜증나,0,"['아', '짜증난다', '거짓말', '코스프레', '짜증나']"
16646,폭행한 놈들 팔 하나 잘 리버려야 합니다 평생 죄인으로 살게,1,"['폭행', '한', '놈', '들', '팔', '하나', '잘', '리버', '려', '야', '합니다', '평생', '죄인', '으로', '살', '게']"
16647,부처님 하느님 ㅇㅈㄹ 하네 ㅋㅋ 무사하게 돌아오길 기도 했는데 죽은 채로 발견됨 이건 뭐 다 부처님 하느님 이 딴 거 없다 ㅋ,1,"['부처님', '하느님', 'ㅇㅈㄹ', '하네', 'ㅋㅋ', '무사하게', '돌아오길', '기도', '했는데', '죽은', '채', '로', '발견', '됨', '이건', '뭐', '다', '부처님', '하느님', '이', '딴', '거', '없다', 'ㅋ']"
16648,나 울어ㅠㅠ 넘재밌 어ㅋㅋㅋㅋㅋㅋㅋㅋ,0,"['나', '울어', 'ㅠㅠ', '넘', '재밌', '어', 'ㅋㅋㅋㅋㅋㅋㅋㅋ']"
16649,여자 집에 남자가 들어갔을 때 외간 남자 데려왔다고 욕함 남자 집에 여 자가 들어갔을 때 외간 남자 집에 갔다고 욕함 지들 스스로 성범죄자라고 말하고 다님 ㅋㅋㅋ 일부 남자들 반응 신박하네요 지능 수준 바닥임,1,"['여자', '집', '에', '남자', '가', '들어갔을', '때', '외간', '남자', '데려왔다고', '욕함', '남자', '집', '에', '여', '자가', '들어갔을', '때', '외간', '남자', '집', '에', '갔다고', '욕함', '지', '들', '스스로', '성범죄자', '라고', '말', '하고', '다님', 'ㅋㅋㅋ', '일부', '남자', '들', '반응', '신', '박하', '네', '요', '지능', '수준', '바닥', '임']"
16650,편집 잌ㅋㅋㅋㅋ 요리하시고 자기가 다 드시는 거처럼 보여 욬ㅋㅋㅋㅋㅋㅋ,0,"['편집', '잌', 'ㅋㅋㅋㅋ', '요리', '하시고', '자기', '가', '다', '드시는', '거', '처럼', '보여', '욬', 'ㅋㅋㅋㅋㅋㅋ']"
16651,안산 애쉬 ㄷㄷ,0,"['안산', '애쉬', 'ㄷㄷ']"
16652,맘카페 회원들 다 모였네 ㅋㅋ 한국 아줌마들 어휴,1,"['맘', '카페', '회원', '들', '다', '모였네', 'ㅋㅋ', '한국', '아줌마', '들', '어휴']"
16653,남자 병신 놈들아 제2범 방도 범인 남자로 나왔다고,1,"['남자', '병신', '놈', '들', '아', '제', '2', '범', '방도', '범인', '남자', '로', '나왔다고']"
16654,영상보다 눈물이 왈칵 났습니다,0,"['영상', '보다', '눈물', '이', '왈칵', '났습니다']"
16655,4324162416 김종국님이랑 송지효님도 진짜 무섭긴 하신 가보 네 손잡고 계신다,0,"['4324162416', '김종국', '님', '이랑', '송지효', '님', '도', '진짜', '무섭긴', '하신', '가보', '네', '손잡고', '계신다']"
16656,재밌으면 됬지 주작이라고 트집잡는 이유가 뭐냐 ㅋㅋ,0,"['재밌으면', '됬지', '주작', '이라고', '트집', '잡는', '이유', '가', '뭐', '냐', 'ㅋㅋ']"
16657,하얀 아반데 차량 운전석는 남자 고 조수석는 여자 ㅡㅡ 여자가 운전석 남자한데 성기 빨다가 전복했군 이 새끼 흥분해서 브레이크 안 밟았군먼,1,"['하얀', '아', '반', '데', '차량', '운전', '석', '는', '남자', '고', '조', '수석', '는', '여자', 'ㅡㅡ', '여자', '가', '운전', '석', '남자한데', '성기', '빨다가', '전복', '했군', '이', '새끼', '흥분해서', '브레이크', '안', '밟았군', '먼']"
16658,저기 손님 이 제 안 가겠네,0,"['저기', '손님', '이', '제', '안', '가겠네']"
16659,뉘에뉘에 저런 거에 관심 끄고 병영생활군 내부 비리 문제부터 해결하세요,0,"['뉘', '에', '뉘', '에', '저런', '거', '에', '관심', '끄고', '병영', '생활', '군', '내부', '비리', '문제', '부터', '해결', '하세요']"
16660,열심히 뛰는 모습 너무 멋있어요 남은 경기도 화이팅 하세요,0,"['열심히', '뛰는', '모습', '너무', '멋있어요', '남은', '경기도', '화이팅', '하세요']"
16661,티비로 봐도 존 예인데 실물이 쩐다고 하면 ㄷㄷ 진짜 제일 예뻐,0,"['티비', '로', '봐도', '존', '예', '인데', '실물', '이', '쩐다', '고', '하면', 'ㄷㄷ', '진짜', '제일', '예뻐']"
16662,미친 놈 이거,1,"['미친', '놈', '이', '거']"
16663,ㅠㅠ 고인의 명복을 빕니다,0,"['ㅠㅠ', '고인', '의', '명복', '을', '빕니다']"
16664,또 라이 같은 년들,1,"['또', '라이', '같은', '년', '들']"
16665,병균을 옮기지 않게 마스크와 손씻기는 중요하답니다,0,"['병균', '을', '옮기지', '않게', '마스크', '와', '손씻기', '는', '중요하답니다']"
16666,김 여사를 보니 여자들은 상황 대처 능력이 떨어지고 생각의 범위가 좁고 운전 능력이 떨어지는 걸 알 수 있다,1,"['김', '여사', '를', '보니', '여자', '들', '은', '상황', '대처', '능력', '이', '떨어지고', '생각', '의', '범위', '가', '좁고', '운전', '능력', '이', '떨어지는', '걸', '알', '수', '있다']"
16667,님들 로즈 티비 모르면 요즘은 흑우 소리 듣는다면서 요 저는 오늘 알았는데,-1,"['님들', '로', '즈', '티비', '모르면', '요즘', '은', '흑우', '소리', '듣는다면서', '요', '저', '는', '오늘', '알았는데']"
16668,이유비 씹노 답 ㅋㅋㅋ,1,"['이유비', '씹노', '답', 'ㅋㅋㅋ']"
16669,너무 귀여워서 앓는 소리가 절로 난다 아이구 경수야,0,"['너무', '귀여워서', '앓는', '소리', '가', '절로', '난다', '아이구', '경수', '야']"
16670,초딩좌는 말투가 아예 초딩을 삼킨 말 투임 ㅋㅋㅋㅋㅋㅋ,0,"['초딩', '좌', '는', '말투', '가', '아예', '초딩', '을', '삼킨', '말', '투임', 'ㅋㅋㅋㅋㅋㅋ']"
16671,ㅋㅋㅋ 레죠 김 여사님 왜 저러는 지 아시나요 ㅋㅋㅋ 저는 알지요 ㅎㅎㅎ 내좃 찾으러 가는 길 낑기고 싶어서 흥분함 그거 티낼려 고 레죠 타고 다니심 ㅋ,1,"['ㅋㅋㅋ', '레', '죠', '김', '여사', '님', '왜', '저러는', '지', '아시나요', 'ㅋㅋㅋ', '저', '는', '알지요', 'ㅎㅎㅎ', '내좃', '찾으러', '가는', '길', '낑기고', '싶어서', '흥분함', '그거', '티', '낼려', '고', '레', '죠', '타고', '다니', '심', 'ㅋ']"
16672,시이발 그냥 담배 좀 어 케 했으면 좋겠다 길에서 피는 개놈들도 개 ㅈ 같고 아니 남한테 피해주는 걸 왜 계속 냅 두냐 시 발 냄새 맡기 싫다고,1,"['시', '이발', '그냥', '담배', '좀', '어', '케', '했으면', '좋겠다', '길', '에서', '피는', '개놈', '들', '도', '개', 'ㅈ', '같고', '아니', '남', '한테', '피', '해주는', '걸', '왜', '계속', '냅', '두냐', '시', '발', '냄새', '맡기', '싫다고']"
16673,박사님 강의에서 감명 많이 받았어요 말씀 들으면서 힐링 많이 되요,0,"['박사', '님', '강의', '에서', '감명', '많이', '받았어요', '말씀', '들으면서', '힐링', '많이', '되요']"
16674,43012012 최고 레전드 시절 그때가 그립읍니다,0,"['43012012', '최고', '레전드', '시절', '그때', '가', '그립', '읍니', '다']"
16675,벌레샊ㅋㅋㅋㅋ 논리도 없고 재미도 없고 그니까 니가 사회에서 거부받는 거야 ㅋㅋㅋㅋ,1,"['벌레', '샊', 'ㅋㅋㅋㅋ', '논리', '도', '없고', '재미', '도', '없고', '그니까', '니', '가', '사회', '에서', '거부', '받는', '거야', 'ㅋㅋㅋㅋ']"
16676,근데 다 못 생겼 엇ㅋㄱㄱ번데기들 ㅉㅉㅉ,1,"['근데', '다', '못', '생겼', '엇', 'ㅋㄱㄱ', '번데기', '들', 'ㅉㅉㅉ']"
16677,구경꾼들 꺄악 ㅇㅈㄹ 하고 있네 그냥 아닥하고 있는 게 더 도움되겠다,1,"['구경꾼', '들', '꺄악', 'ㅇㅈㄹ', '하고', '있네', '그냥', '아닥', '하고', '있는', '게', '더', '도움', '되겠다']"
16678,너무 착 햌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,"['너무', '착', '햌', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']"
16679,뇌가 없니,1,"['뇌', '가', '없니']"
16680,10년 전 실화냐 ㅋㅋㅋㅋ 너무 그립다,0,"['10년', '전', '실화', '냐', 'ㅋㅋㅋㅋ', '너무', '그립다']"
16681,볼보 사면 안 되겠네요 내 목숨 소중하니까,0,"['볼보', '사면', '안', '되겠네요', '내', '목숨', '소중하니까']"
16682,전교 8등이 대단한 거냐 1등부터 7등은 머 세상다가진 거냐 호들갑 졸 떨어 그지 딴 따라 들 돈 맛 여자 맛 남자 맛만 아는 족 속들,1,"['전교', '8등', '이', '대단한', '거', '냐', '1등', '부터', '7등', '은', '머', '세', '상', '다', '가진', '거', '냐', '호들갑', '졸', '떨어', '그', '지', '딴', '따라', '들', '돈', '맛', '여자', '맛', '남자', '맛', '만', '아는', '족', '속', '들']"
16683,아버님이 너 잘못 아니라 고 할 때 진짜 울컥했다 우리 아빠는 나한테 저렇게 말해준 적 없는데 단 한 번도 왜 우리 아빠는 나한테 그렇게 모질었는지 원망스럽네요 ㅠㅠㅠㅠ,0,"['아버님', '이', '너', '잘못', '아니라', '고', '할', '때', '진짜', '울컥', '했다', '우리', '아빠', '는', '나', '한테', '저렇게', '말', '해준', '적', '없는데', '단', '한', '번', '도', '왜', '우리', '아빠', '는', '나', '한테', '그렇게', '모질었는지', '원망', '스럽네요', 'ㅠㅠㅠㅠ']"
16684,능력이 엄청나지만 이 업장 바닥 깔아주려고 힘들게 버티고 계시는 분들 참 많죠,0,"['능력', '이', '엄청나지만', '이', '업', '장', '바닥', '깔아주려고', '힘들게', '버티고', '계시는', '분들', '참', '많죠']"
16685,지가 똥싸지르고 여기저기 쑤시고 다니는 건 왜 저언혀 생각 안 할까니 집에 거울 없냐,1,"['지가', '똥', '싸지르고', '여기저기', '쑤시고', '다니는', '건', '왜', '저', '언', '혀', '생각', '안', '할', '까니', '집', '에', '거울', '없냐']"
16686,2연속 신병 나왔으니까 컨텐츠 개꿀이네,0,"['2', '연속', '신병', '나왔으니까', '컨텐츠', '개꿀', '이네']"
16687,성격 겁나 답답하시네,0,"['성격', '겁나', '답답하시네']"
16688,비호감 이윤지 서민정 극혐,1,"['비호감', '이윤지', '서민정', '극혐']"
16689,현 정 ㅋㅋ 주제 파악 존 내 못하네,1,"['현', '정', 'ㅋㅋ', '주제', '파악', '존', '내', '못', '하네']"
16690,1억이면 학부모 얼마씩 내야 되나,0,"['1억', '이면', '학부모', '얼마', '씩', '내야', '되나']"
16691,오호 그럼 휘성하고 유모 씨는 그야말로 구멍 동서네요,1,"['오호', '그럼', '휘성', '하고', '유모', '씨', '는', '그야말로', '구멍', '동서', '네', '요']"
16692,정말 눈물이 났던 깊은 감동입니다,0,"['정말', '눈물', '이', '났던', '깊은', '감동', '입니다']"
16693,왤케 귀엽냐 진짜 미치겠다,0,"['왤케', '귀엽냐', '진짜', '미치겠다']"
16694,딱 봐도 사기꾼이 구만 거기다 돈 갖다 바치는 애가 정상이냐,1,"['딱', '봐도', '사기꾼', '이', '구만', '거기', '다', '돈', '갖다', '바치는', '애가', '정상', '이냐']"
16695,넘,0,['넘']
16696,좋았다 34억,0,"['좋았다', '34억']"
16697,기자 제목 다는 꼬라지도 극 혐 어 휴 여자네,1,"['기자', '제목', '다는', '꼬', '라', '지도', '극', '혐', '어', '휴', '여자', '네']"
16698,아김제덕 선수 얼굴 만지면 존 나뜨끈뜨끈 김 나올 거 같음ㅠ 개뜨거운 감자 같애,0,"['아', '김제', '덕', '선수', '얼굴', '만', '지면', '존', '나', '뜨', '끈', '뜨', '끈', '김', '나올', '거', '같음', 'ㅠ', '개', '뜨거운', '감자', '같', '애']"
16699,머리가 다들 정돈이 안 되어 있는데 다 멋 있당,0,"['머리', '가', '다', '들', '정돈', '이', '안', '되어', '있는데', '다', '멋', '있당']"
16700,저런 개죽음,0,"['저런', '개죽음']"
16701,전소미가수님이 번 노래 덤덤 정말 좋은 거 같습니다 전소미가수님의 매력을 충분히 보여주는 노래인 거 같습니다 중간에 통통 튀는 부분은 정말 재밌고 좋습니다 이런 멋진 매력을 더 보여줬으면 좋겠고 앞으로 더 멋진 모습 기대하겠습니다,0,"['전', '소', '미가', '수', '님', '이', '번', '노래', '덤덤', '정말', '좋은', '거', '같습니다', '전', '소', '미가', '수', '님', '의', '매력', '을', '충분히', '보여주는', '노래', '인', '거', '같습니다', '중간', '에', '통통', '튀는', '부분', '은', '정말', '재밌고', '좋습니다', '이런', '멋진', '매력', '을', '더', '보여줬으면', '좋겠고', '앞', '으로', '더', '멋진', '모습', '기대하겠습니다']"
16702,노래가 너무 좋아요,0,"['노래', '가', '너무', '좋아요']"
16703,공부가 힘들면 공부를 안하면 되는데 공부가 생명보다 우선은 아닐지언데 왜 그런 선택을 했니 분명 살다 보면 공부만이 길이 아닐 텐데 대한민국 고3으로써의 압박이 너무 심했나보다 이왕 갈꺼면 문제집 말고 좋은 음식 맛있는 음식이라도 먹고 가지 얼마나 고민하고 갈등했을지 눈에 훤해서 더 슬프다 하늘에 가 선 부담 없이 편히 쉬기를,0,"['공부', '가', '힘들면', '공부', '를', '안', '하면', '되는데', '공부', '가', '생명', '보다', '우선', '은', '아닐지', '언', '데', '왜', '그런', '선택', '을', '했니', '분명', '살다', '보면', '공부', '만이', '길이', '아닐', '텐데', '대한민국', '고', '3', '으', '로써', '의', '압박', '이', '너무', '심했나보다', '이왕', '갈꺼면', '문제', '집', '말고', '좋은', '음식', '맛있는', '음식', '이라도', '먹고', '가지', '얼마나', '고민', '하고', '갈등', '했을지', '눈', '에', '훤해', '서', '더', '슬프다', '하늘', '에', '가', '선', '부담', '없이', '편히', '쉬', '기를']"
16704,양쪽 다 열기가 어 마어마하다,0,"['양쪽', '다', '열기', '가', '어', '마', '어마', '하', '다']"
16705,아무리 방송이라지만 고주원은 성품이 보이더라 시청자들은 바보가 아님 걍 꼴뵈기 싫다 고 주원 ㄲ ㅓㅈ ㅕ,1,"['아무리', '방송', '이라지만', '고주원', '은', '성품', '이', '보이더라', '시청자', '들', '은', '바보', '가', '아님', '걍', '꼴', '뵈기', '싫다', '고', '주원', 'ㄲ', 'ㅓㅈ', 'ㅕ']"
16706,결혼 장려 영상 달달해ㅠ,0,"['결혼', '장려', '영상', '달달', '해', 'ㅠ']"
16707,ㅋㅋㅋㅋㅋㅋㅋ 아 행복하게 웃고 갑니다,0,"['ㅋㅋㅋㅋㅋㅋㅋ', '아', '행복하게', '웃고', '갑니다']"
16708,이분들 고생한 만큼 돈 많이 벌면 좋겠따,0,"['이분', '들', '고생', '한', '만큼', '돈', '많이', '벌면', '좋겠', '따']"
16709,모 쏠들 천국인 가 남녀 사이에 친구가 없긴 뭐가 없어 니들 핸드폰에는 이성전화번호 하나도 없냐 남사친 여사 친남녀 사이에 친구가 될 수 없는 경우는 사겼다가 쫑난 상태에서는 절대 친구가 될 수 없다가 맞지 ㅎㅎ,0,"['모', '쏠', '들', '천국', '인', '가', '남녀', '사이', '에', '친구', '가', '없긴', '뭐', '가', '없어', '니', '들', '핸드폰', '에는', '이성', '전화번호', '하나', '도', '없냐', '남사', '친', '여사', '친', '남녀', '사이', '에', '친구', '가', '될', '수', '없는', '경우', '는', '사겼다가', '쫑', '난', '상태', '에서는', '절대', '친구', '가', '될', '수', '없다가', '맞지', 'ㅎㅎ']"
16710,연예계에 아이린 같은 벌레들 많구나,1,"['연예계', '에', '아이린', '같은', '벌레', '들', '많구나']"
16711,무개념들,1,"['무', '개념', '들']"
16712,앞으로 나랑도 쭉 같이 잘 자 내쟈,0,"['앞', '으로', '나', '랑', '도', '쭉', '같이', '잘', '자', '내쟈']"
16713,소미완전 프롬퀸이네ㅠ소미 소속사는 양심 있음 24시간짜리 뮤비 다시 만들어줘 3분은 너무 짧음,0,"['소', '미', '완전', '프롬퀸', '이네', 'ㅠ', '소', '미', '소속사', '는', '양심', '있음', '24시간', '짜리', '뮤비', '다시', '만들어줘', '3분', '은', '너무', '짧음']"
16714,중앙선 ㅋㅋ 아웃겨 김 여사님 아 재발 피해 좀 주지마소 ㅋㅋ,0,"['중앙', '선', 'ㅋㅋ', '아웃', '겨', '김', '여사', '님', '아', '재발', '피해', '좀', '주지', '마소', 'ㅋㅋ']"
16715,동휘형 애드립은 음원보다 이게 더 찰떡이다,0,"['동', '휘', '형', '애드립', '은', '음원', '보다', '이', '게', '더', '찰떡', '이다']"
16716,고우시 다 상폐들이 질투할 만하네 ㅎㅎ,1,"['고', '우시', '다', '상폐', '들', '이', '질투', '할', '만하', '네', 'ㅎㅎ']"
16717,ㅁㅊ 개 좋아 역시 하이틴 컨셉 잘 어울리네,0,"['ㅁㅊ', '개', '좋아', '역시', '하이', '틴', '컨셉', '잘', '어울리네']"
16718,만약 저 자리에 토마토나 계란이 있었다면,0,"['만약', '저', '자리', '에', '토마토', '나', '계란', '이', '있었다면']"
16719,저러다 사고 나면 어쩌려 구 그러냐,0,"['저러다', '사고', '나면', '어쩌려', '구', '그러냐']"
16720,이대훈님 수고 하셨어요 진정한 1등은 대훈님입니다,0,"['이대훈', '님', '수고', '하셨어요', '진정한', '1등', '은', '대훈', '님', '입니다']"
16721,한 심좌 ㅋㅋㅋ,0,"['한', '심좌', 'ㅋㅋㅋ']"
16722,윤십원 토 왜냐 한일 관계 악화가 우리 정부 탓이라니 그거 일본 극우들 주장인데 이런 놈을 지지한다는 20대 골빈 쉐키들 아무리 봐도 요즘 젊은이들이 일베에 심하게 영향 받은 것 같다 꼴에 존심들은 있어서 아니라고 하는데 하는 행동은 일베 순화 버전이지,1,"['윤', '십원', '토', '왜', '냐', '한일', '관계', '악화', '가', '우리', '정부', '탓', '이라니', '그거', '일본', '극우', '들', '주장', '인데', '이런', '놈', '을', '지', '지', '한다는', '20', '대', '골빈', '쉐키들', '아무리', '봐도', '요즘', '젊은이', '들', '이', '일베', '에', '심하게', '영향', '받은', '것', '같다', '꼴', '에', '존심', '들', '은', '있어서', '아니라고', '하는데', '하는', '행동', '은', '일베', '순화', '버전', '이지']"
16723,이게 왜 욕을 먹는 거야 하여 간 남 잘 되는 꼴 못 보는 한국인 종 특 ㅋㅋ,1,"['이', '게', '왜', '욕', '을', '먹는', '거야', '하여', '간', '남', '잘', '되는', '꼴', '못', '보는', '한국인', '종', '특', 'ㅋㅋ']"
16724,저저 여우 새끼 ㅋㅋㅋㅋㅋㅋㅋ 극 혐이다 송 중기,1,"['저저', '여우', '새끼', 'ㅋㅋㅋㅋㅋㅋㅋ', '극', '혐', '이다', '송', '중기']"
16725,와 씨 발 대깨문 수준 ㅋㅋ 잘못한 게 있냐고 묻는 거 봐 ㅋㅋㅋㅋㅋ,1,"['와', '씨', '발', '대', '깨문', '수준', 'ㅋㅋ', '잘못', '한', '게', '있냐고', '묻는', '거', '봐', 'ㅋㅋㅋㅋㅋ']"
16726,개인적으로 잼 민꼰대 매치 보고 싶다,1,"['개인', '적', '으로', '잼', '민꼰대', '매치', '보고', '싶다']"
16727,즐거우면 된 거 졈 쉬는 시간도 즐거우 세여,0,"['즐거우면', '된', '거', '졈', '쉬는', '시간', '도', '즐거우', '세', '여']"
16728,고현정이 홍상수한테나한테 술 억지로 권하지 마라 했다고 멋있다고 물고 빠는 페미들 강의실에서 담배피는 고현정한테는 뭐라 하실지,1,"['고현정', '이', '홍상수', '한테', '나', '한테', '술', '억지로', '권하지', '마라', '했다고', '멋있다고', '물', '고', '빠는', '페미', '들', '강의실', '에서', '담배', '피는', '고현정', '한테', '는', '뭐라', '하실지']"
16729,차 주인은 존 나 어이 없겠네 ㅋㅋㅋ,0,"['차', '주인', '은', '존', '나', '어이', '없겠네', 'ㅋㅋㅋ']"
16730,정은지 승부욕에 눈 멀어서 센스가 사라짓네 한 두어 바퀴 더 돌리게 했어야지,0,"['정은지', '승부', '욕', '에', '눈', '멀어서', '센스', '가', '사라', '짓네', '한', '두어', '바퀴', '더', '돌리게', '했어야지']"
16731,이광수 미친 새끼목 울대를 때렸어 쓰레기나 라면 신고한다,1,"['이광수', '미친', '새끼', '목', '울대', '를', '때렸어', '쓰레기', '나', '라면', '신고', '한다']"
16732,성 이름 관종이니 무시까길 빡쳐도 이런 새끼들은 관심 주면 더 함,1,"['성', '이름', '관', '종이니', '무시', '까길', '빡쳐도', '이런', '새끼', '들', '은', '관심', '주면', '더', '함']"
16733,학부모가 돈 주면 계약을 학부모랑 해야지 누구랑 한겨 학교 이사장부터 털어야 될 듯,0,"['학부모', '가', '돈', '주면', '계약', '을', '학부모', '랑', '해야지', '누구', '랑', '한', '겨', '학교', '이사장', '부터', '털어야', '될', '듯']"
16734,아진짜 제보자들 너무 착하고 답답하다 쌍욕박아서 참 교육해주시는 분들이 없네 ㅠㅠ 나였으면 쌍욕 ㅈㄴ 박고 상품권 날린 다ㅎㅎ,0,"['아', '진짜', '제보자', '들', '너무', '착하고', '답답하다', '쌍욕', '박아', '서', '참', '교육', '해주시는', '분', '들', '이', '없네', 'ㅠㅠ', '나였으면', '쌍욕', 'ㅈㄴ', '박고', '상품권', '날린', '다', 'ㅎㅎ']"
16735,사과티비 보고 나면 단백질 보충제 한 사발 빨아야 한다는 데 사실인가요,1,"['사과', '티비', '보고', '나면', '단백질', '보충', '제', '한', '사발', '빨아야', '한다는', '데', '사실', '인가요']"
16736,뭔가 보컬 앞에 쫀득하게 하고 나서 후렴구 똬랑 나오면 임펙트 더 클 거 같다ㅎㅎ 춤도 잘 추지만 ㅎㅎㅎ,0,"['뭔가', '보컬', '앞', '에', '쫀득하', '게', '하고', '나서', '후렴구', '똬', '랑', '나오면', '임펙트', '더', '클', '거', '같다', 'ㅎㅎ', '춤', '도', '잘', '추', '지만', 'ㅎㅎㅎ']"
16737,부인이 남편 홀대하고 잠자리 안 챙겨주면 100퍼 바람난다,1,"['부인', '이', '남편', '홀', '대', '하고', '잠자리', '안', '챙겨주면', '100', '퍼', '바람난다']"
16738,학부모님들이 제대로 제 역할하는 거 처음 본 거 같네요 항상 이상한 내용만 올라와서 색 안경 끼었네요 오늘부로 다시 보게 됬습니다,0,"['학부모', '님', '들이', '제대로', '제', '역할', '하는', '거', '처음', '본', '거', '같네요', '항상', '이상한', '내용', '만', '올라와서', '색', '안경', '끼었네요', '오늘', '부로', '다시', '보게', '됬습니다']"
